Name,Age,Overall Rating,Potential,Team,Contract expiry,Height,Weight,Strong foot,Value,Full Name,date,year
L. Messi,34,93,93,Paris Saint-Germain,2021 ~ 2023,170cm,72kg,Left,€78M,Lionel Messi,"Nov 9, 2021",FIFA 22
R. Lewandowski,32,92,92,FC Bayern München,2014 ~ 2023,185cm,81kg,Right,€119.5M,Robert Lewandowski,"Nov 9, 2021",FIFA 22
K. De Bruyne,30,91,91,Manchester City,2015 ~ 2025,181cm,70kg,Right,€125.5M,Kevin De Bruyne,"Nov 9, 2021",FIFA 22
Cristiano Ronaldo,36,91,91,Manchester United,2021 ~ 2023,187cm,83kg,Right,€45M,C. Ronaldo dos Santos Aveiro,"Nov 9, 2021",FIFA 22
Neymar Jr,29,91,91,Paris Saint-Germain,2017 ~ 2025,175cm,68kg,Right,€129M,Neymar da Silva Santos Jr.,"Nov 9, 2021",FIFA 22
K. Mbappé,22,91,95,Paris Saint-Germain,2018 ~ 2022,182cm,73kg,Right,€194M,Kylian Mbappé,"Nov 9, 2021",FIFA 22
J. Oblak,28,91,93,Atlético de Madrid,2014 ~ 2023,188cm,87kg,Right,€112M,Jan Oblak,"Nov 9, 2021",FIFA 22
N. Kanté,30,90,90,Chelsea,2016 ~ 2023,168cm,70kg,Right,€100M,N'Golo Kanté,"Nov 9, 2021",FIFA 22
M. Salah,29,90,90,Liverpool,2017 ~ 2023,175cm,71kg,Left,€117.5M,Mohamed Salah,"Nov 9, 2021",FIFA 22
H. Kane,27,90,90,Tottenham Hotspur,2010 ~ 2024,188cm,89kg,Right,€129.5M,Harry Kane,"Nov 9, 2021",FIFA 22
M. Neuer,35,90,90,FC Bayern München,2011 ~ 2023,193cm,93kg,Right,€13.5M,Manuel Neuer,"Nov 9, 2021",FIFA 22
M. ter Stegen,29,90,92,FC Barcelona,2014 ~ 2025,187cm,85kg,Right,€99M,Marc-André ter Stegen,"Nov 9, 2021",FIFA 22
V. van Dijk,29,89,89,Liverpool,2018 ~ 2025,193cm,92kg,Right,€86M,Virgil van Dijk,"Nov 9, 2021",FIFA 22
S. Mané,29,89,89,Liverpool,2016 ~ 2023,175cm,69kg,Right,€101M,Sadio Mané,"Nov 9, 2021",FIFA 22
Alisson,28,89,90,Liverpool,2018 ~ 2027,191cm,91kg,Right,€82M,Alisson Ramses Becker,"Nov 9, 2021",FIFA 22
Ederson,27,89,91,Manchester City,2017 ~ 2026,188cm,86kg,Left,€94M,Ederson Santana de Moraes,"Nov 9, 2021",FIFA 22
H. Son,28,89,89,Tottenham Hotspur,2015 ~ 2025,183cm,78kg,Right,€104M,Heung Min Son,"Nov 9, 2021",FIFA 22
G. Donnarumma,22,89,93,Paris Saint-Germain,2021 ~ 2026,196cm,90kg,Right,€119.5M,Gianluigi Donnarumma,"Nov 9, 2021",FIFA 22
J. Kimmich,26,89,90,FC Bayern München,2015 ~ 2025,177cm,75kg,Right,€108M,Joshua Kimmich,"Nov 9, 2021",FIFA 22
K. Benzema,33,89,89,Real Madrid CF,2009 ~ 2023,185cm,81kg,Right,€66M,Karim Benzema,"Nov 9, 2021",FIFA 22
T. Courtois,29,89,91,Real Madrid CF,2018 ~ 2026,199cm,96kg,Left,€85.5M,Thibaut Courtois,"Nov 9, 2021",FIFA 22
Casemiro,29,89,89,Real Madrid CF,2013 ~ 2025,185cm,84kg,Right,€88M,Carlos Henrique Venancio Casimiro,"Nov 9, 2021",FIFA 22
R. Lukaku,28,88,88,Chelsea,2021 ~ 2026,191cm,94kg,Left,€93.5M,Romelu Lukaku,"Nov 9, 2021",FIFA 22
Rúben Dias,24,88,91,Manchester City,2020 ~ 2027,187cm,82kg,Right,€111.5M,Rúben Santos Gato Alves Dias,"Nov 9, 2021",FIFA 22
Bruno Fernandes,26,88,89,Manchester United,2020 ~ 2025,179cm,69kg,Right,€107.5M,Bruno Miguel Borges Fernandes,"Nov 9, 2021",FIFA 22
K. Navas,34,88,88,Paris Saint-Germain,2019 ~ 2024,185cm,80kg,Right,€15.5M,Keylor Navas,"Nov 9, 2021",FIFA 22
E. Haaland,20,88,94,Borussia Dortmund,2020 ~ 2024,194cm,94kg,Left,€143.5M,Erling Haaland,"Nov 9, 2021",FIFA 22
L. Suárez,34,88,88,Atlético de Madrid,2020 ~ 2022,182cm,83kg,Right,€44.5M,Luis Suárez,"Nov 9, 2021",FIFA 22
T. Kroos,31,88,88,Real Madrid CF,2014 ~ 2023,183cm,76kg,Right,€75M,Toni Kroos,"Nov 9, 2021",FIFA 22
A. Robertson,27,87,88,Liverpool,2017 ~ 2026,178cm,64kg,Left,€83.5M,Andrew Robertson,"Nov 9, 2021",FIFA 22
T. Alexander-Arnold,22,87,90,Liverpool,2015 ~ 2025,180cm,69kg,Right,€102.5M,Trent Alexander-Arnold,"Nov 9, 2021",FIFA 22
R. Sterling,26,87,88,Manchester City,2015 ~ 2023,170cm,69kg,Right,€94M,Raheem Sterling,"Nov 9, 2021",FIFA 22
P. Pogba,28,87,87,Manchester United,2016 ~ 2022,191cm,84kg,Right,€79.5M,Paul Pogba,"Nov 9, 2021",FIFA 22
H. Lloris,34,87,87,Tottenham Hotspur,2012 ~ 2022,188cm,82kg,Left,€13.5M,Hugo Lloris,"Nov 9, 2021",FIFA 22
Sergio Ramos,35,87,87,Paris Saint-Germain,2021 ~ 2023,184cm,82kg,Right,€21M,Sergio Ramos García,"Nov 9, 2021",FIFA 22
Á. Di María,33,87,87,Paris Saint-Germain,2015 ~ 2022,180cm,69kg,Left,€49.5M,Ángel Di María,"Nov 9, 2021",FIFA 22
M. Verratti,28,87,87,Paris Saint-Germain,2012 ~ 2024,165cm,60kg,Right,€79.5M,Marco Verratti,"Nov 9, 2021",FIFA 22
Marquinhos,27,87,90,Paris Saint-Germain,2013 ~ 2024,183cm,75kg,Right,€90.5M,Marcos Aoás Corrêa,"Nov 9, 2021",FIFA 22
T. Müller,31,87,87,FC Bayern München,2008 ~ 2023,185cm,76kg,Right,€66M,Thomas Müller,"Nov 9, 2021",FIFA 22
L. Goretzka,26,87,88,FC Bayern München,2018 ~ 2026,189cm,82kg,Right,€93M,Leon Goretzka,"Nov 9, 2021",FIFA 22
W. Szczęsny,31,87,87,Juventus,2017 ~ 2024,195cm,90kg,Right,€42M,Wojciech Szczęsny,"Nov 9, 2021",FIFA 22
P. Dybala,27,87,88,Juventus,2015 ~ 2022,177cm,75kg,Left,€93M,Paulo Dybala,"Nov 9, 2021",FIFA 22
C. Immobile,31,87,87,Lazio,2016 ~ 2025,185cm,85kg,Right,€67.5M,Ciro Immobile,"Nov 9, 2021",FIFA 22
S. Agüero,33,87,87,FC Barcelona,2021 ~ 2023,173cm,70kg,Right,€51M,Sergio Agüero,"Nov 9, 2021",FIFA 22
F. de Jong,24,87,92,FC Barcelona,2019 ~ 2026,180cm,74kg,Right,€119.5M,Frenkie de Jong,"Nov 9, 2021",FIFA 22
L. Modrić,35,87,87,Real Madrid CF,2012 ~ 2022,172cm,66kg,Right,€32M,Luka Modrić,"Nov 9, 2021",FIFA 22
Thiago,30,86,86,Liverpool,2020 ~ 2024,174cm,70kg,Right,€65M,Thiago Alcântara,"Nov 9, 2021",FIFA 22
Fabinho,27,86,87,Liverpool,2018 ~ 2026,188cm,78kg,Right,€69.5M,Fábio Henrique Tavares,"Nov 9, 2021",FIFA 22
R. Mahrez,30,86,86,Manchester City,2018 ~ 2023,179cm,67kg,Left,€65.5M,Riyad Mahrez,"Nov 9, 2021",FIFA 22
João Cancelo,27,86,87,Manchester City,2019 ~ 2025,182cm,74kg,Right,€71.5M,João Pedro Cavaco Cancelo,"Nov 9, 2021",FIFA 22
A. Laporte,27,86,88,Manchester City,2018 ~ 2024,191cm,85kg,Left,€72.5M,Aymeric Laporte,"Nov 9, 2021",FIFA 22
Bernardo Silva,26,86,87,Manchester City,2017 ~ 2025,173cm,64kg,Left,€80M,Bernardo Mota Carvalho e Silva,"Nov 9, 2021",FIFA 22
Rodri,25,86,88,Manchester City,2019 ~ 2024,191cm,82kg,Right,€76.5M,Rodrigo Hernández Cascante,"Nov 9, 2021",FIFA 22
R. Varane,28,86,88,Manchester United,2021 ~ 2025,191cm,81kg,Right,€68.5M,Raphaël Varane,"Nov 9, 2021",FIFA 22
J. Sancho,21,86,90,Manchester United,2021 ~ 2026,180cm,76kg,Right,€99M,Jadon Sancho,"Nov 9, 2021",FIFA 22
J. Vardy,34,86,86,Leicester City,2012 ~ 2023,179cm,74kg,Right,€33M,Jamie Vardy,"Nov 9, 2021",FIFA 22
S. Gnabry,25,86,87,FC Bayern München,2017 ~ 2023,176cm,77kg,Right,€81M,Serge Gnabry,"Nov 9, 2021",FIFA 22
